x,y,z,delta de t
6.747,1.812,-0.627,5
6.809,0.824,-1.701,5
7.365,0.021,-2.538,5
8.352,-0.62,-3.167,6
9.169,-0.935,-4.255,5
9.567,-0.983,-4.813,5
9.9,-0.909,-4.961,5
10.06,0.065,-5.858,5
10.046,0.885,-6.466,5
9.725,1.132,-6.268,5
8.791,0.402,-4.788,5
7.871,-0.513,-3.155,5
7.612,-1.093,-2.278,5
8.914,-0.892,-1.003,5
10.71,-0.311,0.247,5
10.574,0.281,-0.086,5
9.671,0.648,-0.335,5
8.209,0.827,-0.525,5
7.79,0.013,-1.007,5
8.124,-0.772,-2.076,5
9.322,-1.525,-3.816,5
9.57,-1.262,-4.506,5
9.444,-0.796,-4.089,5
8.814,-0.142,-1.904,5
8.946,0.331,-0.681,5
9.696,0.472,-0.052,5
10.568,0.17,-0.384,5
10.792,-0.096,-0.933,5
10.458,-0.393,-1.651,5
8.273,-0.825,-2.774,5
7.18,-0.779,-3.875,5
6.83,-0.459,-4.87,5
7.04,-0.805,-4.265,6
7.331,-1.305,-3.952,5
7.701,-1.96,-3.927,5
8.083,-2.72,-5.171,5
8.298,-3.209,-6.223,5
8.261,-3.283,-6.889,5
7.239,-3.032,-7.367,5
6.412,-2.745,-7.662,5
6.461,-2.511,-7.6,5
6.796,-1.862,-6.066,5
7.235,-1.211,-4.376,5
7.704,-1.137,-4.129,5
8.483,-1.055,-4.374,5
9.328,-0.973,-4.814,5
9.118,-0.936,-4.468,5
8.735,-0.866,-4.335,5
8.204,-0.767,-4.385,5
8.32,-0.217,-4.885,5
8.508,0.289,-5.273,5
8.779,0.734,-5.508,5
8.636,0.25,-4.956,5
8.661,-0.062,-4.581,5
9.13,0.208,-4.766,5
9.338,1.03,-4.788,5
9.139,1.883,-4.811,5
7.818,2.328,-4.996,5
7.552,2.143,-4.846,5
7.826,1.66,-4.612,5
8.37,1.167,-4.883,6
8.572,0.95,-5.02,5
8.509,0.94,-5.058,5
7.916,1.014,-5.132,5
7.283,1.14,-5.521,5
6.604,1.326,-6.262,5
6.073,0.59,-6.547,5
5.715,-0.749,-5.184,5
7.716,-1.898,-1.073,5
10.16,-1.372,0.078,5
11.274,-0.738,-1.175,5
9.953,-0.059,-7.237,5
6.54,0.919,-7.445,5
3.103,1.85,-5.584,5
3.807,1.924,-5.065,5
5.795,1.447,-5.748,5
8.421,0.668,-7.015,5
8.31,0.644,-5.521,5
8.211,0.456,-4.781,5
8.125,0.11,-4.769,5
7.625,0.249,-5.194,5
6.6,0.394,-5.298,5
4.834,0.518,-4.903,5
4.398,0.546,-5.098,5
4.432,0.177,-5.447,5
5.024,-1.069,-5.916,5
5.737,-1.239,-5.346,5
6.487,-1.287,-4.337,5
7.22,-2.265,-2.948,6
7.639,-2.877,-2.585,5
7.022,-2.258,-5.263,5
5.96,-0.863,-6.411,5
5.128,-0.108,-6.852,5
4.486,0.113,-6.704,5
5.12,-0.253,-5.82,5
5.888,-0.432,-5.477,5
6.813,-0.37,-5.823,5
8.289,-0.077,-6.08,5
9.665,0.138,-6.139,5
10.714,0.15,-5.83,5
11.627,-0.342,-6.076,5
12.332,-0.873,-6.418,5
12.48,-1.083,-6.591,5
12.146,-1.157,-6.29,5
11.562,-1.173,-5.851,5
10.797,-1.21,-5.925,5
9.629,-1.247,-6.157,5
8.202,-1.287,-6.489,5
7.695,-1.435,-6.365,5
7.211,-1.664,-6.37,5
6.819,-1.977,-6.521,5
7.231,-1.957,-6.447,5
7.342,-1.679,-6.377,5
7.206,-1,-6.377,5
7.091,-0.86,-6.611,5
7.098,-0.805,-6.639,5
7.419,-0.669,-5.985,6
7.588,-0.186,-5.803,5
7.639,0.38,-5.79,5
7.392,0.701,-5.716,5
7.214,0.861,-5.886,5
7.093,0.919,-6.192,5
7.179,0.919,-6.291,5
7.399,0.639,-6.263,5
7.745,0.096,-6.115,5
8.019,-0.708,-5.99,5
8.107,-1.436,-5.724,5
7.935,-2.041,-5.255,5
7.74,-1.849,-4.977,5
7.654,-1.57,-4.86,5
7.814,-1.385,-5.033,5
7.731,-1.02,-5.639,5
7.312,-0.542,-5.795,5
7.287,-0.295,-5.573,5
6.955,0.411,-5.432,5
6.553,1.27,-5.342,5
6.948,1.332,-5.329,5
7.704,1.332,-5.317,5
8.753,1.283,-5.305,5
9.148,1.332,-5.441,5
9.709,1.382,-5.444,5
10.475,1.431,-5.283,5
10.886,1.392,-5.477,5
10.936,1.56,-4.914,5
10.381,2.14,-2.84,5
10.296,2.995,-1.315,6
10.105,2.984,-0.959,5
9.204,0.046,-3.81,5
8.968,-0.93,-4.436,5
8.885,-0.96,-4.138,5
7.91,-0.565,-4.286,5
7.363,-0.648,-4.732,5
7.1,-1.023,-5.319,5
6.502,-0.75,-4.305,5
6.081,-0.858,-3.993,5
5.785,-0.969,-4.289,5
5.235,-0.792,-4.608,5
4.813,-0.401,-4.604,5
4.628,0.301,-4.073,5
5.14,3.506,-12.337,5
5.863,6.279,-19.156,5
6.764,6.612,-17.588,5
3.105,2.654,-11.433,5
-1.184,-2.338,-4.594,5
-0.406,-4.634,-2.619,5
3.43,-9.496,-5.375,5
