# Accelerometer Data File
# Started @Mon May 08 23:02:38 GMT+02:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: BMA2X2 Accelerometer/Temperature/Double-tap
# sensor Resolution: 0.01914978m/sec^2; Max Range: 39.226593; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
-0.385 7.155 1.291 5
-0.336 7.157 1.021 5
-0.343 7.2 0.846 5
-0.382 7.23 0.766 5
-0.412 7.269 0.756 5
-0.622 7.308 0.747 5
-0.858 7.437 0.746 5
-1.201 7.559 0.734 5
-1.495 7.693 0.794 5
-1.604 7.788 1.044 5
-1.691 7.859 1.266 5
-1.698 7.916 1.549 5
-1.665 7.989 1.688 5
-1.59 8.025 1.78 5
-1.42 7.982 1.785 5
-1.172 7.937 1.641 5
-0.984 7.895 1.429 5
-0.796 7.914 1.184 5
-0.675 7.967 0.859 5
-0.612 8.003 0.687 5
-0.664 8.008 0.479 5
-0.759 7.964 0.316 5
-0.831 7.931 0.276 5
-0.856 7.896 0.398 5
-0.975 7.986 0.592 5
-1.087 8.069 0.812 5
-1.16 8.191 1.129 5
-1.248 8.266 1.477 6
-1.325 8.353 1.777 5
-1.413 8.382 1.995 5
-1.547 8.357 2.129 5
-1.554 8.385 2.199 5
-1.535 8.404 2.192 5
-1.533 8.38 2.162 5
-1.414 8.328 2.197 5
-1.262 8.254 2.164 5
-1.1 8.105 2.054 5
-0.924 8.021 1.769 5
-0.786 7.955 1.458 5
-0.723 7.936 1.206 5
-0.689 8.006 0.951 5
-0.726 8.018 0.818 5
-0.764 8.043 0.84 5
-0.803 8.09 0.907 5
-0.916 8.121 0.92 5
-1.028 8.163 0.814 5
-1.092 8.178 0.688 5
-1.159 8.178 0.601 5
-1.23 8.167 0.542 5
-1.247 8.111 0.533 5
-1.175 8.057 0.585 5
-1.061 8.006 0.685 5
-1.064 7.981 0.721 5
-1.055 7.914 0.71 5
-1.075 7.849 0.651 5
-0.987 7.815 0.529 5
-0.914 7.838 0.421 6
-0.86 7.833 0.285 5
-0.823 7.808 0.199 5
-0.834 7.795 0.172 5
-0.874 7.811 0.123 5
